standard,edition,clause,circuit_type,limit_pct,applies_to,notes
ABYC E-11,July 2021 / TA 2023,§11.15.1.2.7,critical,3,DC and AC,"Panelboard/switchboard feeders; bilge blowers; electronic equipment; navigation lights; any circuit where voltage drop should be kept to a minimum"
ABYC E-11,July 2021 / TA 2023,§11.15.1.2.7,non-critical,10,DC and AC,"Lighting (non-navigation) and other circuits where voltage drop is not critical"
ISO 13297,2020 (Fifth edition),§5.5,general,10,DC and AC,All circuits — maximum permitted voltage drop as fraction of nominal voltage
ISO 13297,2020 (Fifth edition),§5.6 Note 2,safety-critical,3,DC and AC,"Equipment vital to safety where voltage drop is critical — 3% is acceptable"
ISO 16315,DIS 2023,§10.6,all,see_ref,DC and AC,"Defers to ISO 13297 (≤50V DC) or IEC 60092-507 (AC) — no independent limit set"
ABYC E-30,July 2021,§30.5.1,all,see_ref,DC and AC,Defers to ABYC E-11 for all wiring requirements including voltage drop
